split,sample_id,location,selected,category,figure,iou_water_5sa,iou_water_v3,delta_iou_water,f1_water_5sa,f1_water_v3,viol_frac_5sa,viol_frac_v3,delta_viol_frac,viol_pairs_5sa,viol_pairs_v3,desc_pairs,water_frac_5sa,water_frac_v3
bolivia,Bolivia_379434,Bolivia,False,,,0.31413141314131415,0.29630135116691686,-0.017830061974397293,0.4780821917808219,0.4571488734470415,0.002423025435073628,0.002224134633773188,-0.0001988908013004398,1267,1163,522900,0.03124237060546875,0.03130340576171875
test,India_591317,India,False,,,0.9261598873191345,0.9240748653961199,-0.0020850219230145184,0.9616645984754476,0.9605394072915927,0.0032782430568135896,0.0030831510151753737,-0.0001950920416382159,941,885,287044,0.45357225593276135,0.4515238834541087
test,Sri-Lanka_1049830,Sri-Lanka,False,,,0.3979892529034495,0.41456903127383676,0.016579778370387266,0.5693738375697459,0.586141817201402,0.0005665486357008956,0.0003776990904672638,-0.00018884954523363184,204,136,360075,0.02884883274721,0.02544774040255897
valid,Ghana_495107,Ghana,False,,,0.36468885672937773,0.3399734395750332,-0.024715417154344554,0.5344644750795334,0.5074331020812685,0.0008007690440652312,0.0006172992869524336,-0.0001834697571127976,419,323,523247,0.013675689697265625,0.0118408203125
test,Spain_7558720,Spain,False,,,0.32432432432432434,0.3010089686098655,-0.023315355714458863,0.48979591836734687,0.4627315812149936,0.000881805539881138,0.0007000885631160444,-0.00018171697676509356,461,366,522791,0.011294582875290095,0.009561652620007329
test,Ghana_313799,Ghana,False,,,0.43213728549141966,0.4176577669902913,-0.014479518501128386,0.6034858387799564,0.5892222745366604,0.0011002838978788744,0.0009257985782525603,-0.00017448531962631407,536,451,487147,0.036549348779370376,0.034483604947967796
valid,Mekong_293769,Mekong,False,,,0.912922132291376,0.910910690717114,-0.0020114415742620295,0.9544791362707907,0.95337861171866,0.0009198644358937447,0.0007539472432126448,-0.00016591719268109983,377,309,409843,0.1342032372543928,0.1304076863152428
valid,Sri-Lanka_63307,Sri-Lanka,False,,,0.2164301310043668,0.16934021481378156,-0.04708991619058525,0.3558447386134171,0.289633782655374,0.0008409351963870366,0.0006784818061759046,-0.00016245339021113208,440,355,523227,0.007282257080078125,0.00525665283203125
valid,Pakistan_336228,Pakistan,False,,,0.0,0.0,0.0,,,0.00021709654321363822,5.7130669266746904e-05,-0.00015996587394689131,57,15,262556,0.0019853401876637152,0.0003925387443289475
valid,India_164336,India,False,,,0.18221771467207573,0.1378804547121379,-0.04433725995993784,0.3082642264798398,0.24234611666129552,0.0007544337491101551,0.0005977436627565075,-0.00015669008635364756,390,309,516944,0.006236950069663953,0.004716307540302817
test,USA_595451,USA,False,,,0.6196010071663761,0.6097420322171389,-0.009858974949237265,0.7651279598182253,0.7575649017219557,0.002143776450587005,0.001998435674276021,-0.0001453407763109837,1121,1045,522909,0.08117542039246803,0.08140812402722251
test,India_772630,India,False,,,0.3215158924205379,0.18540051679586564,-0.13611537562467227,0.48658649398704906,0.31280653950953674,0.0006115770229211261,0.00046844197500341573,-0.0001431350479177104,188,144,307402,0.005259701800015451,0.0031545335153091445
