split,tile_idx,d8_vf_gt_w,d8_vf_pred_w,d8_H_R_w,d8_H_R_uw,d8_E_gt,d8_E_yhat,d8_E_soft,d8_dE_w,d8_n_active,d4_vf_gt_w,d4_vf_pred_w,d4_H_R_w,d4_E_gt,d4_E_yhat,d4_dE_w,d4_n_active
val,74,0.0003976999125959974,5.076149937731511e-05,-0.0003469384132186823,-0.0003798021959472406,0.0003589241426372119,4.581225248997111e-05,8.779770386339003e-07,-0.0003131118901472408,260662,0.00036100699527858685,6.76935197960165e-05,-0.0002933134754825703,0.0003258087985813791,6.109340056100578e-05,-0.00026471539802037334,522765
val,75,0.0009847220225557836,0.0002456505305431688,-0.0007390714920126148,-0.0009193895253551605,0.0008887115574376867,0.00022169959491753627,1.2529740045282255e-05,-0.0006670119625201504,250166,0.0009283630424074167,0.00033307089629569357,-0.0005952921461117232,0.0008378476422528835,0.0003005964746380303,-0.0005372511676148533,502527
val,76,0.00022108184225497158,8.364839615553497e-05,-0.00013743344609943662,-0.00011907093939289139,0.00019952636350372224,7.549267666175992e-05,7.159113091174294e-07,-0.00012403368684196233,260349,0.00021387645376253115,8.07626854575065e-05,-0.00013311376830502466,0.0001930234933067706,7.288831949924473e-05,-0.00012013517380752588,520800
val,77,0.0015168112108660569,1.2719085840668998e-05,-0.0015040921250253879,-0.0012307055278231417,0.0013689220475537936,1.1478974367887546e-05,1.1958040758593434e-06,-0.0013574430731859062,260826,0.0013786301806400756,2.991639581272629e-05,-0.0013487137848273495,0.0012442136904698541,2.6999546075671142e-05,-0.001217214144394183,522556
val,78,0.0008665446810556575,0.0002573418690981393,-0.0006092028119575182,-0.0006041691519697046,0.000782056582905162,0.00023225103200669948,1.1258282015561455e-05,-0.0005498055508984625,259861,0.00074381504397907,0.00024129415941280823,-0.0005025208845662618,0.0006712930505859776,0.00021776797133845924,-0.00045352507924751836,520619
val,79,0.001907633537712002,0.00034793510550989103,-0.001559698432202111,-0.0016926923792538466,0.001721639268330185,0.0003140114376286037,3.6292123404913225e-06,-0.0014076278307015811,220359,0.0016727379925385883,0.00039676978664649983,-0.0012759682058920885,0.001509645927934189,0.00035808471038208865,-0.0011515612175521002,442547
val,80,0.0005445907791877607,0.0008048999291048636,0.00026030914991710284,-0.0002905056389930187,0.0004914931727514259,0.0007264221755065082,5.561334570917798e-06,0.00023492900275508234,251286,0.00042720023000436866,0.0006636216999065547,0.00023642146990218602,0.00038554819346407054,0.0005989185620728221,0.0002133703686087516,504177
val,81,0.0009075613319122,0.0002240429175819741,-0.0006835184143302259,-0.0007106010148150682,0.0008190740587598072,0.000202198726059424,1.0934449270053478e-05,-0.0006168753327003831,260343,0.0007709065713300212,0.00021318253006643984,-0.0005577240412635813,0.000695743157968746,0.00019239722285163124,-0.0005033459351171148,521415
val,82,0.0004278964056599815,0.00024428978201518613,-0.00018360662364479537,-0.000314301484116275,0.00038617647019213816,0.000220471519395342,4.951977912538117e-06,-0.00016570495079679617,260896,0.0003455337872972595,0.0002294495837883042,-0.00011608420350895529,0.0003118442262300523,0.00020707824936894455,-0.00010476597686110776,522656
val,83,0.0038990920990191282,0.0004593251441210685,-0.00343976695489806,-0.0030373921380632673,0.003518930732512517,0.00041454092467838017,1.6281284823977302e-05,-0.003104389807834137,260750,0.003151664158955754,0.00039208434345648364,-0.0027595798154992704,0.0028443768026972897,0.0003538561169950033,-0.0024905206857022866,523127
val,84,0.0011137512344038185,0.00045472255470338117,-0.0006590286797004373,-0.0007484139381541397,0.0010051604492792817,0.0004103871148348396,2.4822784602948303e-05,-0.000594773334444442,260551,0.0009220152453983892,0.0004471202724468292,-0.00047489497295156,0.0008321187465903146,0.00040352603311460256,-0.00042859271347571204,522483
val,85,0.0018619521822246879,0.0005001170349968263,-0.0013618351472278615,-0.001384260839222508,0.001680411761628226,0.000451355601748576,1.1597548234490163e-05,-0.00122905615987965,260789,0.0018145109278481647,0.00045445583752465237,-0.0013600550903235123,0.00163759604650889,0.0004101463494499463,-0.0012274496970589436,523078
test,0,0.0017323126425952697,4.781745692881199e-05,-0.0016844951856664577,-0.001241144319644766,0.0015634121177554357,4.3155255000888856e-05,8.198384524091266e-07,-0.0015202568627545468,259438,0.0016220399391425739,3.3943078571241585e-05,-0.0015880968605713323,0.001463890966925247,3.0633627156787355e-05,-0.0014332573397684595,523249
test,1,0.00018936415878696247,0.0,-0.00018936415878696247,-0.0002105561361800515,0.00017090114125640829,0.0,0.0,-0.00017090114125640829,261213,0.00021224581302418426,0.0,-0.00021224581302418426,0.00019155183768573825,0.0,-0.00019155183768573825,523256
test,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260890,0.0,0.0,0.0,0.0,0.0,0.0,523253
test,3,0.003956081253157955,0.00025632801130825127,-0.0036997532418497035,-0.0037635076388026177,0.0035703633766167387,0.0002313360194291879,2.080550802911098e-06,-0.003339027357187551,241530,0.0036334699959694452,0.0003096805445802632,-0.003323789451389182,0.003279206453925097,0.0002794866955331277,-0.002999719758391969,487147
