condition,condition_label,seed,img_idx,tile_id,iou_water,f1_water,precision_water,recall_water,accuracy,pred_water_ratio,gt_water_ratio
dice_ce_topo_dem_shuffled,Dice+CE+Topo+Shuf,1,1,Ghana_141271,0.8879496114591852,0.94064964327556,0.9268328954537458,0.9548846740671751,0.9206312496316783,0.6786143793048349,0.6586786311991725
dice_ce_topo_dem_shuffled,Dice+CE+Topo+Shuf,1,2,Ghana_167233,0.0,0.0,0.0,0.0,0.9938546310287586,0.0002104578414678478,0.005934911129393307
dice_ce_topo_dem_shuffled,Dice+CE+Topo+Shuf,1,3,Ghana_313799,0.8269820411648381,0.905298439786932,0.8481581311674734,0.9706940873911222,0.9924574778374002,0.04250545400732293,0.03713976102616491
dice_ce_topo_dem_shuffled,Dice+CE+Topo+Shuf,1,4,Ghana_319168,5.30363298856906e-05,0.00010606702375845318,5.30363298856906e-05,0.9999999000000099,0.8747550436099598,0.12525159927459695,6.642885137873081e-06
dice_ce_topo_dem_shuffled,Dice+CE+Topo+Shuf,1,5,Ghana_359826,0.36933950058162546,0.5394417826726334,0.39839157057307123,0.835112996413241,0.7778151298804162,0.3266137532975893,0.15581144911598968
dice_ce_topo_dem_shuffled,Dice+CE+Topo+Shuf,2,0,Ghana_1078550,0.8111385941093882,0.8957222285862546,0.9316633572600224,0.8624512188200258,0.9193773629881588,0.37166343086163245,0.4014896056859339
dice_ce_topo_dem_shuffled,Dice+CE+Topo+Shuf,2,1,Ghana_141271,0.8889673350272469,0.9412203920590099,0.9189580406390188,0.9645882675887435,0.920643864532399,0.6913848638011219,0.6586786311991725
dice_ce_topo_dem_shuffled,Dice+CE+Topo+Shuf,2,2,Ghana_167233,0.0,0.0,0.0,0.0,0.9940612623640178,3.8265062085063235e-06,0.005934911129393307
dice_ce_topo_dem_shuffled,Dice+CE+Topo+Shuf,2,3,Ghana_313799,0.9207643622088514,0.9587478113499169,0.9455068116367266,0.9723650385479131,0.9968922899188,0.03819475937922178,0.03713976102616491
dice_ce_topo_dem_shuffled,Dice+CE+Topo+Shuf,2,4,Ghana_319168,0.0,0.0,0.0,0.0,0.9920484664893069,0.007944890624896206,6.642885137873081e-06
dice_ce_topo_dem_shuffled,Dice+CE+Topo+Shuf,2,5,Ghana_359826,0.427827938334527,0.5992709531622843,0.48138946807931904,0.7936078402662414,0.8346276786676118,0.2568672474602153,0.15581144911598968
dice_ce_topo_dem_shuffled,Dice+CE+Topo+Shuf,3,0,Ghana_1078550,0.772405782135332,0.8715901805888038,0.8985616047539156,0.8461908263083361,0.8998944105715455,0.3780896261225973,0.4014896056859339
dice_ce_topo_dem_shuffled,Dice+CE+Topo+Shuf,3,1,Ghana_141271,0.8273481167568849,0.9055177429784711,0.9470646863253712,0.8674629571695719,0.8807639583872772,0.6033160369027896,0.6586786311991725
dice_ce_topo_dem_shuffled,Dice+CE+Topo+Shuf,3,2,Ghana_167233,0.0,0.0,0.0,0.0,0.9940650888702263,0.0,0.005934911129393307
dice_ce_topo_dem_shuffled,Dice+CE+Topo+Shuf,3,3,Ghana_313799,0.5120627261722552,0.677303502565743,0.5532746823024334,0.873007712071041,0.9691043016240439,0.058602532950796975,0.03713976102616491
dice_ce_topo_dem_shuffled,Dice+CE+Topo+Shuf,3,4,Ghana_319168,0.0,0.0,0.0,0.0,0.9878568059673117,0.012136551146894119,6.642885137873081e-06
dice_ce_topo_dem_shuffled,Dice+CE+Topo+Shuf,3,5,Ghana_359826,0.36867527753957974,0.538732962482609,0.5770435654292759,0.5051927155689856,0.8652076555346139,0.13641051354077047,0.15581144911598968
dice_ce_topo_dem_shuffled,Dice+CE+Topo+Shuf,42,0,Ghana_1078550,0.7776778103968707,0.8749366860016095,0.8269385699878475,0.9288501781547174,0.8933887393974665,0.45096903845498826,0.4014896056859339
dice_ce_topo_dem_shuffled,Dice+CE+Topo+Shuf,42,1,Ghana_141271,0.8871109483700188,0.9401788506037196,0.9526999128314168,0.9279827378172482,0.9222165221555828,0.6415896456894884,0.6586786311991725
dice_ce_topo_dem_shuffled,Dice+CE+Topo+Shuf,42,2,Ghana_167233,0.02436053593030691,0.04756241131453137,0.305343511217295,0.02578981302219279,0.9938699370535926,0.0005012723133143283,0.005934911129393307
dice_ce_topo_dem_shuffled,Dice+CE+Topo+Shuf,42,3,Ghana_313799,0.6797658121114187,0.8093577885051039,0.6868949444183677,0.9849614395760288,0.982766768983534,0.05325593496245447,0.03713976102616491
dice_ce_topo_dem_shuffled,Dice+CE+Topo+Shuf,42,4,Ghana_319168,0.0,0.0,0.0,0.0,0.9929120415572298,0.007081315556972704,6.642885137873081e-06
dice_ce_topo_dem_shuffled,Dice+CE+Topo+Shuf,42,5,Ghana_359826,0.4767377242303849,0.645663316704386,0.5486850184185718,0.7842828932904838,0.8658742956116474,0.222714763513706,0.15581144911598968
